Analyzing cncours_quiz...                                       

warning - Unused import: 'quiz_screen.dart' - lib\screens\dashboard_screen.dart:15:8 - unused_import
warning - The value of the local variable 'isDark' isn't used - lib\screens\dashboard_screen.dart:81:11 - unused_local_variable
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:190:29 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:205:38 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:206:34 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:227:36 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:228:32 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:274:56 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:275:48 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:300:27 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:316:30 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:334:38 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:335:34 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:390:42 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:406:44 - undefined_identifier
  error - Undefined name 'context' - lib\screens\quiz_screen.dart:444:47 - undefined_identifier
  error - Invalid constant value - lib\screens\result_screen.dart:119:38 - invalid_constant


